salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,DIAMOND BRACELET,BT,78,1,1928.57
1,DIAMOND PENDANT,PN,78,1,2178.57
1,DIAMOND PENDANT,PN,78,1,2428.57
1,DIAMOND BRACELET,BT,78,1,2178.57
1,DIAMOND  RING,RN,79,1,2857.14
1,DIAMOND,PN,120,1,13523.81
1,DIAMOND,BN,120,1,11047.62
1,DIAMOND BANGLE,BN,120,1,30000
1,DIAMOND RING,RN,135,1,1142.86
1,DIAMOND BRACELET,BT,135,1,1904.76
1,,,118,1.4,17619.05
1,DIAMOND RING,RN,118,1,3333.33
1,DIAMOND BRACELET,BT,132,1,4095.24
1,Multi Tourmaline              ,,104,1,76.19
1,DIAMOND,PN,104,1,400
1,DIAMOND EARRING,REP,91,1,4142.86
1,DIAMOND EARRING,ER,91,1,1428.57
1,DIAMOND,BN,3,-1,-571.43
1,Diamond Bangle,,3,-1,-5190.48
1,Diamond Bangle,,3,-1,-7095.24
1,DIAMOND EARRING,ER,98,1,41428.57
1,DIAMOND PENDANT WITH CHAIN,PN,15,1,1500
1,DIAMOND PENDANT WITH CHAIN,PN,15,1,1500
1,DIAMOND PENDANT WITH CHAIN,PN,15,1,3300
1,DIAMOND PENDANT WITH CHAIN,PN,15,1,1500
1,DIAMOND EARRING,ER,19,1,600
1,DIAMOND PENDANT,PN,19,1,1200
1,DIAMOND RING,RN,2,-1,-1240
1,DIAMOND SUITI,SUT,2,-1,-935
1,DIAMOND EARRING,ER,16,1,2000
1,DIAMOND RING,RN,14,1,2600
1,,,14,1.1,20800
1,,,18,4.01,111540
1,DIAMOND RING,RN,18,1,9060
1,Multi Tourmaline              ,,17,1,2050
1,DIAMOND CHOKER NECKLACE,NK,268,1,2619.05
1,DIAMOND PENDANT,PN,283,1,2619.05
1,DIAMOND EARRING,ER,283,1,5047.62
1,GOLD BRACELET,GB,284,1,10000
1,DIAMOND EARRING,ER,262,1,3333.33
1,DIAMOND PENDENT,PN,17,-1,-1642.86
1,,,400,1,95.24
1,DIAMOND PENDENT,PN,383,1,4571.43
1,DIAMOND EARRING,ER,390,1,5809.52
1,DIAMOND EARRING,ER,390,1,2604.76
1,DIAMOND PENDANT,PN,390,1,6619.05
1,DIAMOND RING,RN,390,1,5033.33
1,DIAMOND PENDANT,PN,390,1,13333.33
1,DIAMOND EARRING,ER,390,1,2585.71
1,DIAMOND RING,RN,390,1,2061.9
1,DIAMOND PENDANT,PN,390,1,2476.19
1,DIAMOND RING,RN,390,1,9523.81
1,DIAMOND RING,RN,390,1,6619.05
1,DIAMOND RING,RN,390,1,7619.05
1,DIAMOND EARRING,ER,390,1,23809.52
1,DIAMOND BANGLE,BN,390,1,16666.67
1,DIAMOND RING,,392,1,3209.52
1,DIAMOND EARRING,ER,392,1,7142.86
1,DIAMOND BRACELET,BT,392,1,2571.43
1,DIAMOND RING,REP,392,1,5000
1,DIAMOND BANGLE,BN,392,1,11761.9
1,DIAMOND EARRING,ER,392,1,5238.1
1,DIAMOND PENDANT,PN,392,1,8761.9
1,DIAMOND,BN,392,1,2285.71
1,DIAMOND RING,RN,392,1,4571.43
1,DIAMOND BANGLE,BN,392,1,67980.95
1,DIAMOND RING,,392,1,3285.71
1,DIAMOND RING,RN,389,1,4571.43
1,DIAMOND BANGLE,BN,418,1,64285.71
1,GOLD EARRING,ER,421,1,347.62
1,DIAMOND RING,RN,423,1,36190.48
1,DIAMOND CHOKER NECKLACE,NK,409,1,2809.52
1,DIAMOND EARRING,ER,224,1,2380.95
1,DIAMOND PENDANT,NK,223,1,2857.14
1,DIAMOND EARRING,ER,233,1,2857.14
1,DIAMOND PENDANT,NK,10,-1,-2857.14
1,DIAMOND RING,RN,241,1,5238.1
1,DIAMOND RING,RN,156,1,4285.71
1,dimaond earring,ER,156,1,6190.48
1,DIAMOND BANGLE,BN,156,1,44666.67
1,DIAMOND RING,RN,160,1,7142.86
1,DIAMOND EARRING,ER,192,1,3333.33
1,DIAMOND,PN,205,1,2476.19
1,DIAMOND BRACELET,BR,218,1,2809.52
1,DIAMOND BRACELET,BR,218,1,2809.52
1,DIAMOND RING,RN,146,1,8095.24
1,DIAMOND RING,RN,148,1,3333.33
1,DIAMOND ANKLET,AN,148,1,1190.48
1,Multi Tourmaline              ,,148,1,171.43
1,DIAMOND,ER,158,1,10285.71
1,DIAMOND RING,RN,168,1,4047.62
1,DIAMOND EARRING,ER,168,1,5238.1
1,DIAMOND PENDANT,PN,168,1,4047.62
1,GOLD EARRING WITH COLOR STONE,ER,169,1,2485.71
1,DIAMOND RING,RN,177,1,4285.71
1,DIAMOND RING,RN,179,1,3571.43
1,DIAMOND EARRING,ER,186,1,4285.71
1,DIAMOND,PN,189,1,142.86
1,DIAMOND EARRING,ER,208,1,23809.52
1,DIAMOND RING,RN,207,1,7428.57
1,DIAMOND RING,RN,207,1,3714.29
1,GOLD BRACELET,GB,210,1,1714.29
1,DIAMOND PENDANT,PN,196,1,5714.29
1,DIAMOND RING,RN,196,1,6190.48
1,DIAMOND EARRING,ER,196,1,8095.24
1,DIAMOND BARACELET,BT,181,1,1571.43
1,dimaond earring,ER,66,1,6190.48
1,DIAMOND BANGLE,BN,66,1,44666.67
1,DIAMOND RING,RN,66,1,4285.71
1,DIAMOND BANGLE,BN,3,-1,-44666.67
1,DIAMOND RING,RN,3,-1,-4285.71
1,dimaond earring,ER,3,-1,-6190.48
1,GOLD BRACELET,BR,76,1,4285.71
1,GOLD EARRING,ER,76,1,2857.14
1,DIAMOND BANGLE,BN,78,1,10285.71
1,GOLD BRACELET,BR,78,1,5628.57
1,DIAMOND EARRING,ER,78,1,9523.81
1,DIAMOND BANGLE,BN,78,1,25714.29
1,DIAMOND BANGLE,BN,78,1,57142.86
